prov_origen;depto_origen;prov_destino;depto_destino;hora_incio;cantidad_tren;cantidad_subte;cantidad_bus;cantidad_as;cantidad_transbordo;pobl2010_origen;pobl2010_destino
6;497;6;497;5;0;0;16683;3730;1174;106273;106273
6;840;6;861;5;182;2;2031;451;827;339828;268752
2;8;2;10;5;21;4;3573;572;665;187237;165883
6;490;2;8;5;61;10;6928;1450;2216;616279;187237
6;805;2;9;5;36;0;771;153;299;377797;161797
6;532;6;560;5;0;0;141;51;27;63284;451589
2;3;6;483;5;1;0;4;1;0;187537;36172
2;9;6;412;5;131;0;508;156;204;161797;265981
6;658;6;434;5;225;15;9751;2329;2538;581314;459263
2;12;6;658;5;60;150;306;84;197;200870;581314
6;252;2;10;5;2;0;130;24;48;213619;165883
6;648;6;427;5;40;1;232;55;105;81141;1498704
2;10;6;270;5;13;3;111;32;36;165883;163671
6;35;6;134;5;61;2;138;34;58;342464;51892
6;882;2;1;5;2;24;107;16;32;114269;206262
2;15;6;98;5;0;2;0;0;0;182574;88470
6;91;6;441;5;201;4;2986;779;763;324244;654324
6;410;6;329;5;6;0;14;3;7;167824;14889
6;260;6;35;5;672;0;1679;425;886;300934;342464
6;638;6;274;5;4;0;17;5;5;299916;426005
6;490;2;14;5;762;567;4990;1739;2428;616279;225970
6;28;6;98;5;0;0;4;0;2;552228;88470
6;882;2;11;5;0;0;3;0;1;114269;189832
6;412;6;648;5;0;0;1;0;0;265981;81141
6;525;2;2;5;23;4;41;28;25;54181;157835
6;539;6;490;5;125;0;437;140;212;525261;616279
2;7;6;515;5;62;41;157;59;86;220429;322375
6;568;6;568;5;5583;68;69515;21647;9603;321109;321109
6;434;6;427;5;198;4;2333;545;959;459263;1498704
2;14;2;3;5;359;4172;15439;3289;2333;225970;187537
6;260;6;648;5;86;1;468;155;205;300934;81141
6;497;6;329;5;0;0;3;1;0;106273;14889
6;497;2;8;5;0;0;5;2;1;106273;187237
6;483;6;560;5;0;0;2;1;0;36172;451589
6;560;6;515;5;148;0;3817;1039;1346;451589;322375
2;4;6;434;5;269;40;14000;2803;2934;218245;459263
2;7;6;490;5;127;403;4224;1072;1856;220429;616279
2;15;2;11;5;619;759;11239;2387;1570;182574;189832
6;408;6;364;5;12;0;184;45;75;180423;87185
6;260;2;1;5;2720;1943;5553;1531;3816;300934;206262
2;6;6;882;5;0;5;12;4;7;175916;114269
6;638;6;638;5;2389;6;99084;22348;14789;299916;299916
6;98;2;15;5;0;0;16;0;8;88470;182574
6;35;6;252;5;7;1;40;10;18;342464;213619
2;2;6;648;5;46;40;238;80;100;157835;81141
2;12;2;3;5;109;7170;4157;772;2107;200870;187537
2;12;6;756;5;174;11;2916;580;981;200870;292878
2;1;6;434;5;2095;2977;20650;3332;6498;206262;459263
2;1;6;245;5;29;12;153;20;67;206262;56729
6;560;6;490;5;15;0;319;94;118;451589;616279
2;8;2;5;5;14;161;3148;541;751;187237;179005
2;9;2;15;5;78;121;4619;829;846;161797;182574
6;91;6;749;5;6;0;9;3;5;324244;166803
2;3;6;371;5;736;1755;1662;421;1653;187537;414196
6;28;6;434;5;1408;22;9041;2224;3185;552228;459263
2;14;6;91;5;93;219;1301;385;657;225970;324244
6;760;6;441;5;19;1;24;6;17;273838;654324
2;3;6;98;5;4;3;51;23;18;187537;88470
6;840;6;760;5;1817;3;3177;1127;1658;339828;273838
6;252;6;568;5;13;0;164;30;67;213619;321109
6;861;6;560;5;173;1;2761;1044;984;268752;451589
6;441;6;410;5;5;0;10;6;5;654324;167824
2;12;6;28;5;67;216;220;89;141;200870;552228
6;805;6;882;5;0;0;128;40;38;377797;114269
2;8;6;490;5;29;7;6948;1414;2216;187237;616279
2;9;6;532;5;2;0;6;2;2;161797;63284
6;648;2;13;5;58;60;107;41;89;81141;232094
2;5;2;10;5;36;429;2570;524;644;179005;165883
6;252;2;2;5;13;124;573;168;276;213619;157835
6;412;2;1;5;2099;680;2733;1103;1942;265981;206262
6;270;6;648;5;55;0;375;105;131;163671;81141
6;483;6;270;5;2;0;10;0;6;36172;163671
6;91;6;861;5;40;1;136;48;65;324244;268752
6;364;6;805;5;2;0;307;70;118;87185;377797
6;126;6;434;5;0;0;1;1;0;94461;459263
2;11;6;749;5;50;1;317;55;132;189832;166803
6;91;6;260;5;55;0;403;84;159;324244;300934
6;861;6;497;5;1;0;20;4;7;268752;106273
2;6;2;6;5;267;2080;10615;2842;1410;175916;175916
6;91;6;252;5;2;0;9;7;3;324244;213619
6;658;6;882;5;0;0;7;0;3;581314;114269
2;2;2;12;5;96;1361;3751;724;1088;157835;200870
6;329;6;483;5;0;0;1;0;0;14889;36172
2;1;2;4;5;727;4773;40609;6496;5042;206262;218245
2;15;6;427;5;309;311;9066;2265;3839;182574;1498704
6;568;6;525;5;164;0;508;159;213;321109;54181
2;5;6;515;5;119;118;211;86;144;179005;322375
6;412;6;861;5;250;3;3059;1045;1133;265981;268752
6;861;2;5;5;163;337;1371;269;607;268752;179005
6;434;6;778;5;101;0;427;91;151;459263;59478
2;9;6;427;5;589;19;24814;5927;5675;161797;1498704
6;560;6;760;5;1062;9;14885;4483;4174;451589;273838
2;14;6;760;5;1412;108;1682;957;1072;225970;273838
2;14;6;260;5;105;279;1396;491;494;225970;300934
6;749;2;3;5;381;170;546;193;453;166803;187537
6;515;6;658;5;13;3;31;4;17;322375;581314
6;760;6;274;5;8;1;35;14;17;273838;426005
2;2;2;2;5;112;3834;17129;3929;2098;157835;157835
6;515;6;260;5;2;1;24;11;10;322375;300934
6;410;2;4;5;106;20;347;93;189;167824;218245
6;483;6;539;5;0;0;4;0;0;36172;525261
2;8;2;9;5;190;11;11697;2221;1705;187237;161797
6;270;6;28;5;484;2;1089;322;560;163671;552228
6;434;6;245;5;0;0;3;0;0;459263;56729
6;497;6;266;5;0;0;421;99;70;106273;29805
6;515;6;28;5;5;8;17;2;11;322375;552228
6;861;2;1;5;5573;4550;9733;1601;6766;268752;206262
6;560;6;35;5;15;0;94;30;33;451589;342464
6;515;6;778;5;1;0;1;0;0;322375;59478
2;1;6;483;5;0;3;5;3;1;206262;36172
6;497;6;805;5;0;0;14;1;6;106273;377797
2;7;6;329;5;3;3;2;2;2;220429;14889
2;9;6;270;5;31;1;309;64;105;161797;163671
2;14;6;134;5;14;41;51;12;28;225970;51892
6;560;2;8;5;43;0;449;98;189;451589;187237
6;539;6;638;5;163;0;818;198;346;525261;299916
6;497;6;756;5;0;0;45;5;13;106273;292878
6;252;6;441;5;2;1;8;7;3;213619;654324
2;1;6;35;5;1112;1931;25417;3872;4408;206262;342464
6;364;6;434;5;0;0;5;0;2;87185;459263
2;12;6;91;5;18;58;146;44;96;200870;324244
6;515;6;497;5;1;0;63;17;28;322375;106273
